参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
定期存款,定期存款,,float64,输出参数,macro_china_supply_of_money,中国宏观数据,,1,1,,
定期存款同比增长,定期存款同比增长,,float64,输出参数,macro_china_supply_of_money,中国宏观数据,,1,1,,
实体经济部门,实体经济部门,,float64,输出参数,macro_cnbs,中国宏观数据,105.8,1,1,,
实施公告日,实施公告日,,object,输出参数,stock_fhps_detail_ths,股票数据,2017-04-28,1,1,,
实施方案公告日期,实施方案公告日期,,object,输出参数,stock_dividend_cninfo,股票数据,1998-11-28,1,1,,
实施方案分红说明,实施方案分红说明,,object,输出参数,stock_dividend_cninfo,股票数据,,1,1,,
实施进度,实施进度,,object,输出参数,stock_repurchase_em,股票数据,,1,1,,
实物,实物,,object,输出参数,news_trade_notify_dividend_baidu,股票数据,-,1,1,,
实际公司募集资金总额,实际公司募集资金总额,,object,输出参数,stock_add_stock,股票数据,"320,000.00万元",1,1,,
实际募资净额,实际募资净额,,float64,输出参数,stock_allotment_cninfo,股票数据,,1,1,,
实际募资总额,实际募资总额,,float64,输出参数,stock_allotment_cninfo,股票数据,,1,1,,
实际发行数量,实际发行数量,,object,输出参数,stock_add_stock,股票数据,29739.7769万股,1,1,,
实际发行量,实际发行量,,float64,输出参数,bond_zh_cov_info_ths,债券数据,,1,1,,
实际披露,实际披露,,object,输出参数,stock_report_disclosure,股票数据,2023-03-09,1,1,,
实际披露时间,实际披露时间,,object,输出参数,stock_yysj_em,股票数据,2022-01-18,1,1,,
实际控制人名称,实际控制人名称,,object,输出参数,stock_hold_control_cninfo,股票数据,,1,1,,
实际解禁数量市值,实际解禁数量市值,,float64,输出参数,stock_restricted_release_queue_em,股票数据,,1,1,,
实际配股数量,实际配股数量,,float64,输出参数,stock_allotment_cninfo,股票数据,,1,1,,
审核公告日,审核公告日,,object,输出参数,stock_new_gh_cninfo,股票数据,2021-09-09,1,1,,
审核类型,审核类型,,object,输出参数,stock_new_gh_cninfo,股票数据,首发新股,1,1,,
审核结果,审核结果,,object,输出参数,stock_new_gh_cninfo,股票数据,通过,1,1,,
审议内容,审议内容,,object,输出参数,stock_new_gh_cninfo,股票数据,首发,1,1,,
客座率,客座率,,float64,输出参数,macro_china_passenger_load_factor,中国宏观数据,81.20,1,1,,
客运量,客运量,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据,,1,1,,
客运量同比增长,客运量同比增长,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据,,1,1,,
对其他存款性公司债权,对其他存款性公司债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,,1,1,,
对其他金融性公司债权,对其他金融性公司债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,,1,1,,
对应值,对应值,,float64,输出参数,stock_lhb_detail_daily_sina,股票数据,,1,1,,
对政府债权,对政府债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,,1,1,,
对金融机构负债,对金融机构负债,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,,1,1,,
对非货币金融机构债权,对非货币金融机构债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,,1,1,,
对非金融性公司债权,对非金融性公司债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,,1,1,,
封单资金,封单资金,,int64,输出参数,stock_zt_pool_dtgc_em,股票数据,,1,1,,
封板资金,封板资金,,int64,输出参数,stock_zt_pool_em,股票数据,,1,1,,
封闭期,封闭期,,float,输出参数,fund_financial_fund_daily_em,基金数据,28天,1,1,,
尼日利亚,尼日利亚,,float64,输出参数,macro_cons_opec_month,宏观数据,147.4,1,1,,
居民消费项目,居民消费项目,,object,输出参数,macro_china_retail_price_index,中国宏观数据,建筑材料及五金电料,1,1,,
居民部门,居民部门,,float64,输出参数,macro_cnbs,中国宏观数据,7.5,1,1,,
已上市流通A股,已上市流通A股,A,int64,输出参数,stock_zh_a_gbjg_em,股票数据,1.265123e+09,1,1,,
已发行股本(股),已发行股本股,,object,输出参数,stock_hk_financial_indicator_em,股票数据,2539598690,1,1,,
已发行股本-H股(股),已发行股本H股股,H,int64,输出参数,stock_hk_financial_indicator_em,股票数据,,1,1,,
已回购股份价格区间-上限,已回购股份价格区间上限,,float64,输出参数,stock_repurchase_em,股票数据,,1,1,,
已回购股份价格区间-下限,已回购股份价格区间下限,,float64,输出参数,stock_repurchase_em,股票数据,,1,1,,
已回购股份数量,已回购股份数量,,float64,输出参数,stock_repurchase_em,股票数据,,1,1,,
已回购金额,已回购金额,,float64,输出参数,stock_repurchase_em,股票数据,,1,1,,
已流通比例,已流通比例,,float64,输出参数,stock_hold_change_cninfo,股票数据,100.00,1,1,,
巴西MA10,巴西MA10,MA10,float64,输出参数,index_inner_quote_sugar_msweet,指数数据,,1,1,,
巴西MA5,巴西MA5,MA5,float64,输出参数,index_inner_quote_sugar_msweet,指数数据,,1,1,,
巴西糖,巴西糖,,float64,输出参数,index_inner_quote_sugar_msweet,指数数据,,1,1,,
巴西糖进口利润空间,巴西糖进口利润空间,,float64,输出参数,index_outer_quote_sugar_msweet,指数数据,4770,1,1,,
巴西糖进口成本,巴西糖进口成本,,float64,输出参数,index_outer_quote_sugar_msweet,指数数据,4637.0,1,1,,
币种,币种,,object,输出参数,fund_hk_rank_em,基金数据,,1,1,,
市价总值-上海,市价总值上海,,float64,输出参数,macro_china_stock_market_cap,宏观数据,,1,1,,
市价总值-深圳,市价总值深圳,,float64,输出参数,macro_china_stock_market_cap,宏观数据,,1,1,,
市净率-24A,市净率24A,A,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市净率-LYR,市净率LYR,LYR,float64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市净率-LYR排名,市净率LYR排名,LYR,int64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市净率-MRQ排名,市净率MRQ排名,MRQ,int64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市场情绪指数,市场情绪指数,,float64,输出参数,index_news_sentiment_scope,指数数据,0.986883,1,1,,
市场板块,市场板块,,object,输出参数,stock_yjkb_em,股票数据,,1,1,,
市现率,市现率,,float64,输出参数,stock_value_em,股票数据,34.410716,1,1,,
市现率-LYR,市现率LYR,LYR,float64,输出参数,stock_hk_valuation_comparison_em,股票数据,-30.427808,1,1,,
市现率-LYR排名,市现率LYR排名,LYR,int64,输出参数,stock_hk_valuation_comparison_em,股票数据,121,1,1,,
市现率-TTM,市现率TTM,TTM,float64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市现率-TTM排名,市现率TTM排名,TTM,int64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市现率1-24A,市现率124A,A,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市现率1-TTM,市现率1TTM,TTM,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市现率2-24A,市现率224A,A,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,29.790457,1,1,,
市现率2-TTM,市现率2TTM,TTM,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,-1045.264127,1,1,,
市盈率-24A,市盈率24A,A,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市盈率-25E,市盈率25E,E,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市盈率-26E,市盈率26E,E,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市盈率-27E,市盈率27E,E,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市盈率-LYR,市盈率LYR,LYR,float64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市盈率-LYR排名,市盈率LYR排名,LYR,int64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市盈率-TTM排名,市盈率TTM排名,TTM,int64,输出参数,stock_hk_valuation_comparison_em,股票数据,97,1,1,,
市盈率1,市盈率1,,float64,输出参数,stock_zh_index_value_csindex,指数数据,14.34,1,1,,
市盈率2,市盈率2,,float64,输出参数,stock_zh_index_value_csindex,指数数据,14.86,1,1,,
市盈率ttm,市盈率ttm,ttm,float64,输出参数,sw_index_third_cons,指数数据,,1,1,,
市销率,市销率,,float64,输出参数,stock_value_em,股票数据,13.976938,1,1,,
市销率-24A,市销率24A,A,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市销率-25E,市销率25E,E,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市销率-26E,市销率26E,E,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市销率-27E,市销率27E,E,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
市销率-LYR,市销率LYR,LYR,float64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市销率-LYR排名,市销率LYR排名,LYR,int64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
市销率-TTM排名,市销率TTM排名,TTM,int64,输出参数,stock_hk_valuation_comparison_em,股票数据,,1,1,,
平今仓手续费,平今仓手续费,,float64,输出参数,futures_contract_info_czce,期货数据,20.0,1,1,,
平今费率（按金额）,平今费率按金额,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
平今费用（按手）,平今费用按手,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
平仓费率（按金额）,平仓费率按金额,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
平仓费用（按手）,平仓费用按手,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
平均价格,平均价格,,float64,输出参数,stock_sector_spot,股票数据,15.913158,1,1,,
平均市盈率,平均市盈率,,float64,输出参数,stock_market_pe_lg,股票数据,,1,1,,
平均成本,平均成本,,float64,输出参数,stock_cyq_em,股票数据,12.09,1,1,,
平均持股数,平均持股数,,float64,输出参数,stock_main_stock_holder,股票数据,178312.0,1,1,,
平均收益,平均收益,,object,输出参数,fund_individual_profit_probability_xq,基金数据,5.97,1,1,,
平均维持担保比例,平均维持担保比例,,float64,输出参数,stock_margin_account_info,股票数据,,1,1,,
平均质押比例,平均质押比例,,float64,输出参数,stock_gpzy_industry_data_em,股票数据,20.886207,1,1,,
年份,年份,,object,输出参数,macro_cnbs,中国宏观数据,1992-12,1,1,,
年份代码,年份代码,,object,输出参数,futures_contract_info_czce,期货数据,,1,1,,
年内3日跟买成功率,年内3日跟买成功率,,object,输出参数,stock_lh_yyb_most,股票数据,2369,1,1,,
年内上榜次数,年内上榜次数,,int64,输出参数,stock_lh_yyb_most,股票数据,...,1,1,,
年内买入股票只数,年内买入股票只数,,int64,输出参数,stock_lh_yyb_most,股票数据,3160,1,1,,
年内最佳携手对象,年内最佳携手对象,,object,输出参数,stock_lh_yyb_control,股票数据,,1,1,,
年内最佳携手成功率,年内最佳携手成功率,,object,输出参数,stock_lh_yyb_control,股票数据,207,1,1,,
年内最佳携手股票数,年内最佳携手股票数,,int64,输出参数,stock_lh_yyb_control,股票数据,...,1,1,,
年化夏普比率,年化夏普比率,,float64,输出参数,fund_individual_analysis_xq,基金数据,-1.89,1,1,,
年化波动率,年化波动率,,float64,输出参数,fund_individual_analysis_xq,基金数据,12.72,1,1,,
年均股息,年均股息,,float64,输出参数,stock_history_dividend,股票数据,6.87,1,1,,
年度指数,年度指数,,float64,输出参数,stock_analyst_rank_em,股票数据,6424.01,1,1,,
年涨跌幅,年涨跌幅,,float64,输出参数,index_realtime_fund_sw,指数数据,-1.40,1,1,,
广州现货价,广州现货价,,float64,输出参数,index_inner_quote_sugar_msweet,指数数据,7400,1,1,,
序列号,序列号,,object,输出参数,stock_gddh_em,股票数据,209796,1,1,,
应收账款周转天数(天),应收账款周转天数天,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
应收账款周转率(次),应收账款周转率次,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
建立时间,建立时间,,object,输出参数,amac_fund_info,中国基金数据,2013-09-22,1,1,,
开仓费率（按金额）,开仓费率按金额,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
开仓费用（按手）,开仓费用按手,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
开始日期,开始日期,,object,输出参数,index_detail_hist_adjust_cni,指数数据,2024-06-17,1,1,,
开始转股日,开始转股日,,object,输出参数,bond_cov_comparison,债券数据,20240807,1,1,,
开板几日,开板几日,,int64,输出参数,stock_zt_pool_sub_new_em,股票数据,,1,1,,
开板日期,开板日期,,int64,输出参数,stock_zt_pool_sub_new_em,股票数据,2024-12-30,1,1,,
开板次数,开板次数,,int64,输出参数,stock_zt_pool_dtgc_em,股票数据,1,1,1,,
开盘指数,开盘指数,,float64,输出参数,index_hist_fund_sw,指数数据,0.0,1,1,,
开盘溢价,开盘溢价,,float64,输出参数,stock_dxsyl_em,股票数据,114.209211,1,1,,
强赎价,强赎价,,float64,输出参数,bond_cb_redeem_jsl,债券数据,,1,1,,
强赎天计数,强赎天计数,,object,输出参数,bond_cb_redeem_jsl,债券数据,25/15,1,1,,
强赎条款,强赎条款,,object,输出参数,bond_cb_redeem_jsl,债券数据,|,1,1,,
强赎状态,强赎状态,,object,输出参数,bond_cb_redeem_jsl,债券数据,30,1,1,,
强赎触发比,强赎触发比,,int64,输出参数,bond_cb_redeem_jsl,债券数据,,1,1,,
归属于母公司所有者权益,归属于母公司所有者权益,,float64,输出参数,stock_cg_guarantee_cninfo,股票数据,1416683.55,1,1,,
归母净利润同比增长(06-30),归母净利润同比增长0630,,float64,输出参数,sw_index_third_cons,指数数据,1433.66,1,1,,
归母净利润同比增长(09-30),归母净利润同比增长0930,,float64,输出参数,sw_index_third_cons,指数数据,,1,1,,
当前交易日-7日年化%,当前交易日7日年化,,float,输出参数,fund_money_fund_daily_em,基金数据,4.1720%,1,1,,
当前交易日-7日年华,当前交易日7日年华,,float,输出参数,fund_financial_fund_daily_em,基金数据,,1,1,,
当前交易日-累计净值,当前交易日累计净值,,float64,输出参数,fund_etf_fund_daily_em,基金数据,,1,1,,
当前评级名称,当前评级名称,,object,输出参数,stock_analyst_detail_em,股票数据,,1,1,,
当年成交笔数,当年成交笔数,,int64,输出参数,bond_deal_summary_sse,债券数据,3685,1,1,,
当年成交金额,当年成交金额,,float64,输出参数,bond_deal_summary_sse,债券数据,363349.44,1,1,,
当年累计净利润-同比增长,当年累计净利润同比增长,,float64,输出参数,stock_qsjy_em,股票数据,,1,1,,
当年累计净利润-累计净利润,当年累计净利润累计净利润,,float64,输出参数,stock_qsjy_em,股票数据,,1,1,,
当年累计营业收入-同比增长,当年累计营业收入同比增长,,float64,输出参数,stock_qsjy_em,股票数据,54.032161,1,1,,
当年累计营业收入-累计营业收入,当年累计营业收入累计营业收入,,float64,输出参数,stock_qsjy_em,股票数据,,1,1,,
当日余额,当日余额,,float64,输出参数,stock_hsgt_hist_em,股票数据,,1,1,,
当日可融券,当日可融券,,object,输出参数,stock_margin_underlying_info_szse,股票数据,Y,1,1,,
当日可融资,当日可融资,,object,输出参数,stock_margin_underlying_info_szse,股票数据,Y,1,1,,
当日成交净买额,当日成交净买额,,float64,输出参数,stock_hsgt_hist_em,股票数据,,1,1,,
当日成交笔数,当日成交笔数,,int64,输出参数,bond_deal_summary_sse,债券数据,3685,1,1,,
当日成交金额,当日成交金额,,float64,输出参数,bond_deal_summary_sse,债券数据,363349.44,1,1,,
当日结存股数,当日结存股数,,float64,输出参数,stock_share_hold_change_szse,股票数据,18752.80,1,1,,
当日解禁股票家数,当日解禁股票家数,,int64,输出参数,stock_restricted_release_summary_em,股票数据,15,1,1,,
当日资金余额,当日资金余额,,float64,输出参数,stock_hsgt_fund_flow_summary_em,股票数据,,1,1,,
当日资金流入,当日资金流入,,float64,输出参数,stock_hsgt_hist_em,股票数据,,1,1,,
当月净利润-净利润,当月净利润净利润,,float64,输出参数,stock_qsjy_em,股票数据,19194.615013,1,1,,
当月净利润-同比增长,当月净利润同比增长,,float64,输出参数,stock_qsjy_em,股票数据,,1,1,,
当月净利润-环比增长,当月净利润环比增长,,float64,输出参数,stock_qsjy_em,股票数据,,1,1,,
当月出口额-同比增长,当月出口额同比增长,,float64,输出参数,macro_china_hgjck,中国宏观数据,-0.3,1,1,,
当月出口额-环比增长,当月出口额环比增长,,float64,输出参数,macro_china_hgjck,中国宏观数据,,1,1,,
当月出口额-金额,当月出口额金额,,float64,输出参数,macro_china_hgjck,中国宏观数据,2.983717e+08,1,1,,
当月营业收入-同比增长,当月营业收入同比增长,,float64,输出参数,stock_qsjy_em,股票数据,,1,1,,
当月营业收入-环比增长,当月营业收入环比增长,,float64,输出参数,stock_qsjy_em,股票数据,,1,1,,
当月营业收入-营业收入,当月营业收入营业收入,,float64,输出参数,stock_qsjy_em,股票数据,,1,1,,
当月进口额-同比增长,当月进口额同比增长,,float64,输出参数,macro_china_hgjck,中国宏观数据,,1,1,,
当月进口额-环比增长,当月进口额环比增长,,float64,输出参数,macro_china_hgjck,中国宏观数据,,1,1,,
当月进口额-金额,当月进口额金额,,float64,输出参数,macro_china_hgjck,中国宏观数据,,1,1,,
性质,性质,,object,输出参数,stock_zh_a_tick_tx,股票数据,卖盘,1,1,,
总买卖净额,总买卖净额,,float64,输出参数,stock_lhb_hyyyb_em,股票数据,,1,1,,
总份额,总份额,,float64,输出参数,fund_hold_structure_em,基金数据,263786.82,1,1,,
总历史分位数,总历史分位数,,float64,输出参数,stock_buffett_index_lg,股票数据,1.00000,1,1,,
总市值(港元),总市值港元,,object,输出参数,stock_hk_financial_indicator_em,股票数据,,1,1,,
总市值-静态,总市值静态,,float64,输出参数,stock_industry_pe_ratio_cninfo,股票数据,,1,1,,
总指数-同比增长,总指数同比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据,-5.746061,1,1,,
总指数-指数值,总指数指数值,,float64,输出参数,macro_china_qyspjg,中国宏观数据,101.70,1,1,,
总指数-环比增长,总指数环比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据,,1,1,,
总规模,总规模,,float64,输出参数,fund_aum_hist_em,基金数据,16514.20,1,1,,
总负债,总负债,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,408091.68,1,1,,
总资产,总资产,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,,1,1,,
总资产(元),总资产元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
总资产净利润率(%),总资产净利润率,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
总资产利润率(%),总资产利润率,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
总资产同比增长率排名,总资产同比增长率排名,,int64,输出参数,stock_hk_growth_comparison_em,股票数据,91,1,1,,
总资产周转天数(天),总资产周转天数天,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
总资产周转率(次),总资产周转率次,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
总资产周转率-22A,总资产周转率22A,A,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,,1,1,,
总资产周转率-23A,总资产周转率23A,A,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,,1,1,,
总资产周转率-24A,总资产周转率24A,A,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,,1,1,,
总资产周转率-3年平均,总资产周转率3年平均,,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,,1,1,,
总资产回报率(%),总资产回报率,,object,输出参数,stock_hk_financial_indicator_em,股票数据,0.040922,1,1,,
总资产增长率(%),总资产增长率,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
总量,总量,,int64,输出参数,futures_global_hist_em,期货数据,1,1,1,,
成交价格(前复权),成交价格前复权,,float64,输出参数,stock_analyst_detail_em,股票数据,,1,1,,
成交净买额,成交净买额,,float64,输出参数,stock_hsgt_fund_flow_summary_em,股票数据,,1,1,,
成交净价,成交净价,,float64,输出参数,bond_spot_deal,中国债券数据,103.20,1,1,,
成交均重,成交均重,,int64,输出参数,index_hog_spot_price,期货数据,0,1,1,,
成交总量,成交总量,,float64,输出参数,stock_dzjy_mrtj,股票数据,130.00,1,1,,
成交总额,成交总额,,float64,输出参数,stock_dzjy_mrtj,股票数据,1783.6000,1,1,,
成交笔数,成交笔数,,int64,输出参数,stock_dzjy_mrtj,股票数据,1,1,1,,
成交笔数-占总计,成交笔数占总计,,float64,输出参数,stock_szse_sector_summary,股票数据,100.00,1,1,,
成交笔数-笔,成交笔数笔,,int64,输出参数,stock_szse_sector_summary,股票数据,1072706301,1,1,,
成交股数-占总计,成交股数占总计,,float64,输出参数,stock_szse_sector_summary,股票数据,100.00,1,1,,
成交股数-股数,成交股数股数,,int64,输出参数,stock_szse_sector_summary,股票数据,,1,1,,
成交量-上海,成交量上海,,float64,输出参数,macro_china_stock_market_cap,宏观数据,,1,1,,
成交量-深圳,成交量深圳,,float64,输出参数,macro_china_stock_market_cap,宏观数据,,1,1,,
成交金额-上海,成交金额上海,,float64,输出参数,macro_china_stock_market_cap,宏观数据,,1,1,,
成交金额-人民币元,成交金额人民币元,,int64,输出参数,stock_szse_sector_summary,股票数据,,1,1,,
成交金额-占总计,成交金额占总计,,float64,输出参数,stock_szse_sector_summary,股票数据,,1,1,,
成交金额-深圳,成交金额深圳,,float64,输出参数,macro_china_stock_market_cap,宏观数据,,1,1,,
成交金额统计-买入,成交金额统计买入,,float64,输出参数,stock_dzjy_hyyybtj,股票数据,,1,1,,
成交金额统计-净买入额,成交金额统计净买入额,,float64,输出参数,stock_dzjy_hyyybtj,股票数据,,1,1,,
成交金额统计-卖出,成交金额统计卖出,,float64,输出参数,stock_dzjy_hyyybtj,股票数据,,1,1,,
成交额/流通市值,成交额流通市值,,float64,输出参数,stock_dzjy_mrmx,股票数据,,1,1,,
成交额占总成交比,成交额占总成交比,,float64,输出参数,stock_lhb_detail_em,股票数据,,1,1,,
成分股个数,成分股个数,,int64,输出参数,stock_analyst_rank_em,股票数据,,1,1,,
成分股代码,成分股代码,,object,输出参数,stock_esg_rate_sina,股票数据,SZ000001,1,1,,
成本比例,成本比例,,float64,输出参数,stock_zygc_em,股票数据,,1,1,,
成本费用利润率(%),成本费用利润率,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
成立日期/规模,成立日期规模,,object,输出参数,fund_overview_em,基金数据,2022年05月20日,1,1,,
成立来分红,成立来分红,,object,输出参数,fund_overview_em,基金数据,,1,1,,
成立来涨幅,成立来涨幅,,float64,输出参数,fund_new_found_em,基金数据,,1,1,,
战略投资者持股,战略投资者持股,,float64,输出参数,stock_share_change_cninfo,股票数据,,1,1,,
截止时间,截止时间,,object,输出参数,fund_portfolio_industry_allocation_em,基金数据,2023-09-30,1,1,,
截至日期,截至日期,,object,输出参数,stock_main_stock_holder,股票数据,,1,1,,
截至过户日,截至过户日,,object,输出参数,stock_hk_dividend_payout_em,股票数据,2025/06/27-2025/07/02,1,1,,
所属公司,所属公司,,object,输出参数,fund_manager_em,基金数据,华夏基金,1,1,,
所属行业代码,所属行业代码,,object,输出参数,stock_gpzy_pledge_ratio_em,股票数据,016058,1,1,,
手数,手数,,int64,输出参数,stock_intraday_em,股票数据,11,1,1,,
手续费收取方式,手续费收取方式,,object,输出参数,futures_contract_info_czce,期货数据,绝对值,1,1,,
手续费更新时间,手续费更新时间,,object,输出参数,futures_comm_info,期货数据,2024-04-15,1,1,,
手续费标准-平今-万分之,手续费标准平今万分之,,float64,输出参数,futures_comm_info,期货数据,,1,1,,
手续费标准-平今-元,手续费标准平今元,,object,输出参数,futures_comm_info,期货数据,,1,1,,
手续费标准-平昨-万分之,手续费标准平昨万分之,,float64,输出参数,futures_comm_info,期货数据,,1,1,,
手续费标准-平昨-元,手续费标准平昨元,,object,输出参数,futures_comm_info,期货数据,,1,1,,
手续费标准-开仓-万分之,手续费标准开仓万分之,,float64,输出参数,futures_comm_info,期货数据,,1,1,,
手续费标准-开仓-元,手续费标准开仓元,,object,输出参数,futures_comm_info,期货数据,,1,1,,
托管人,托管人,,object,输出参数,amac_fund_abs,中国基金数据,,1,1,,
托管只数,托管只数,,int64,输出参数,bond_cash_summary_sse,债券数据,193,1,1,,
托管市值,托管市值,,float64,输出参数,bond_cash_summary_sse,债券数据,6815.47,1,1,,
托管费率,托管费率,,object,输出参数,fund_overview_em,基金数据,,1,1,,
托管面值,托管面值,,float64,输出参数,bond_cash_summary_sse,债券数据,6758.46,1,1,,
扣除非经常性损益后的净利润(元),扣除非经常性损益后的净利润元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
扣除非经常性损益后的每股收益(元),扣除非经常性损益后的每股收益元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
承销余额(股),承销余额股,,float64,输出参数,stock_allotment_cninfo,股票数据,,1,1,,
承销方式编码,承销方式编码,,object,输出参数,stock_allotment_cninfo,股票数据,,1,1,,
承销费用,承销费用,,float64,输出参数,stock_allotment_cninfo,股票数据,,1,1,,
投资,投资,,float64,输出参数,macro_china_insurance,中国宏观数据,,1,1,,
投资占市值比,投资占市值比,,float64,输出参数,stock_ipo_benefit_ths,股票数据,1.71,1,1,,
投资性现金流-净现金流占比,投资性现金流净现金流占比,,float64,输出参数,stock_xjll_em,股票数据,,1,1,,
投资性现金流-现金流量净额,投资性现金流现金流量净额,,float64,输出参数,stock_xjll_em,股票数据,,1,1,,
投资总额,投资总额,,object,输出参数,stock_ipo_benefit_ths,股票数据,34.17亿,1,1,,
投资收益率(%),投资收益率,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
投资类别,投资类别,,object,输出参数,fund_etf_scale_szse,基金数据,,1,1,,
投资经理,投资经理,,int64,输出参数,amac_person_fund_org_list,中国基金数据,33,1,1,,
投资评级,投资评级,,object,输出参数,stock_rank_forecast_cninfo,股票数据,,1,1,,
折价成交总额,折价成交总额,,float64,输出参数,stock_dzjy_sctj,股票数据,414053400.0,1,1,,
折价成交总额占比,折价成交总额占比,,float64,输出参数,stock_dzjy_sctj,股票数据,65.605380,1,1,,
报价单位,报价单位,,str,输出参数,futures_foreign_detail,期货数据,合约交割月份,1,1,,
报价机构,报价机构,,object,输出参数,bond_spot_quote,中国债券数据,星展银行(中国),1,1,,
报告PDF链接,报告PDF链接,PDF,object,输出参数,stock_research_report_em,股票数据,https://pdf.dfcfw.com/pdf/H3_AP202501101641890...,1,1,,
报告名称,报告名称,,object,输出参数,stock_research_report_em,股票数据,,1,1,,
报告日,报告日,,object,输出参数,stock_financial_report_sina,股票数据,20230331,1,1,,
报告类型,报告类型,,object,输出参数,stock_ipo_tutor_em,股票数据,,1,1,,
担保物总价值,担保物总价值,,float64,输出参数,stock_margin_account_info,股票数据,,1,1,,
担保笔数,担保笔数,,int64,输出参数,stock_cg_guarantee_cninfo,股票数据,,1,1,,
担保金融占净资产比例,担保金融占净资产比例,,float64,输出参数,stock_cg_guarantee_cninfo,股票数据,93.19,1,1,,
担保金额,担保金额,,float64,输出参数,stock_cg_guarantee_cninfo,股票数据,,1,1,,
拆分折算,拆分折算,,float64,输出参数,fund_cf_em,基金数据,2.000000,1,1,,
拆分折算日,拆分折算日,,object,输出参数,fund_cf_em,基金数据,2025-11-07,1,1,,
拆分类型,拆分类型,,object,输出参数,fund_cf_em,基金数据,份额分拆,1,1,,
招商证券,招商证券,,float64,输出参数,fund_rating_all,基金数据,,1,1,,
招股公告日期,招股公告日期,,object,输出参数,stock_ipo_summary_cninfo,股票数据,2002-12-13,1,1,,
拟融资额(元),拟融资额元,,object,输出参数,stock_ipo_review_em,股票数据,1.593741e+09,1,1,,
拼音全称,拼音全称,,object,输出参数,fund_name_em,基金数据,HUAXIACHENGZHANGHUNHE,1,1,,
